Country_name,3_letter_code,population,area_sq_km,population_density,population_urban,gdp_per_capita_usd,GDP_2022,date,Total_confirmed_cases,Total_new_deceased,Total_new_vaccinations,New_persons_fully_vaccinated,Investment_in_vaccines,Total_tested,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2020-12-28,476,13,318,9,0,4422,3,2,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2020-12-29,965,3,367,14,0,6632,3,2,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2020-12-30,732,5,1013,22,0,5813,3,2,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2020-12-31,418,7,586,24,0,3559,3,2,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-01-02,342,7,30,1,0,3509,3,2,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-01-03,391,6,18,0,0,3440,3,2,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-01-04,432,4,642,49,0,3861,3,2,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-01-05,720,4,1810,61,0,5566,3,2,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-01-06,1085,5,1611,33,0,7122,3,2,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-01-07,784,8,1342,32,0,5654,3,2,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-01-08,554,5,2214,59,0,5392,3,2,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-01-09,425,4,551,14,0,3885,3,2,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-01-10,290,5,223,2,0,3546,3,2,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-01-11,335,0,849,42,0,3918,2,2,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-01-12,856,9,1580,58,0,6850,2,2,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-01-13,630,10,1394,120,0,5937,2,2,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-01-14,453,9,1780,122,0,4283,2,2,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-01-15,617,5,1281,45,0,4853,2,2,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-01-16,388,8,220,8,0,3142,2,2,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-01-17,266,11,30,62,0,2716,2,2,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-01-18,600,5,658,393,0,5267,2,2,1,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-01-19,610,5,758,451,0,6077,2,2,1,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-01-20,669,4,852,681,0,5354,2,2,1,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-01-21,495,10,1516,729,0,4710,2,2,1,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-01-22,484,8,1232,325,0,5016,2,2,1,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-01-23,532,7,255,16,0,4630,2,2,1,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-01-24,257,9,161,4,0,3170,2,2,1,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-01-25,358,6,374,664,0,4935,2,2,1,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-01-26,639,8,742,1628,0,6162,2,2,1,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-01-27,691,3,638,1501,0,5547,2,2,1,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-01-28,690,2,1071,1408,0,6228,2,2,1,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-01-29,401,8,1220,1980,0,4659,1,2,1,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-01-30,468,3,266,551,0,3755,1,2,1,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-01-31,368,2,285,280,0,3187,1,2,1,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-02-01,405,9,719,877,0,4383,1,2,1,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-02-02,688,10,1245,1526,0,6007,1,2,1,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-02-03,672,4,1660,1475,0,5235,1,2,1,2
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-02-04,592,9,2043,1673,0,5296,1,2,1,2
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-02-05,590,5,1549,1506,0,5616,1,2,1,2
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-02-06,422,0,407,159,0,4071,1,2,1,2
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-02-07,342,13,10,50,0,3094,1,2,1,2
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-02-08,544,3,997,605,0,5246,1,2,1,2
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-02-09,802,3,2277,876,0,5882,1,2,1,2
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-02-10,680,6,2590,939,0,5736,1,2,1,2
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-02-11,714,5,2756,1311,0,5344,1,2,1,2
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-02-12,756,4,1532,836,0,5308,1,2,1,2
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-02-13,669,6,132,154,0,4976,1,2,1,2
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-02-14,414,7,2,59,0,3051,1,2,1,2
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-02-15,617,2,618,261,0,5729,1,2,1,2
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-02-16,813,4,1829,599,0,6352,1,2,1,2
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-02-17,1002,4,3664,746,0,8523,1,2,1,2
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-02-18,953,10,5283,1182,0,6381,1,2,1,2
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-02-19,788,7,3773,1113,0,5696,1,2,1,2
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-02-20,584,5,587,260,0,4590,1,2,1,2
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-02-21,832,13,512,352,0,5784,1,2,1,2
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-02-22,965,4,2094,979,0,6538,1,2,1,2
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-02-23,1069,10,3785,1092,0,5890,1,2,1,2
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-02-24,1151,8,331,157,0,4834,1,2,1,2
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-02-25,1203,0,3724,2863,0,6389,1,2,1,2
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-02-26,1572,14,5179,2426,0,9450,1,2,1,2
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-02-27,1202,9,1035,464,0,6223,1,2,1,2
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-02-28,1027,7,184,128,0,4899,1,2,1,2
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-03-01,1113,10,2444,1125,0,6565,1,2,1,2
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-03-02,1459,8,2963,2424,0,7597,1,2,1,2
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-03-03,1421,14,2908,2490,0,6967,1,2,1,2
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-03-04,1536,7,5133,2674,0,7607,1,2,1,2
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-03-05,1541,9,5568,1771,0,7523,1,2,1,2
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-03-06,1318,14,3585,304,0,6761,1,2,1,2
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-03-07,1180,2,994,46,0,5493,1,2,1,2
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-03-08,1309,8,3416,401,0,6827,1,2,1,2
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-03-09,1485,9,4035,1241,0,7812,1,2,1,2
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-03-10,1960,9,4002,2589,0,9400,1,2,1,2
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-03-11,1361,15,8170,3175,0,7242,3,3,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-03-12,1587,9,5727,2119,0,8531,3,3,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-03-13,936,9,5423,223,0,5056,3,3,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-03-14,1280,11,5265,139,0,5958,3,3,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-03-15,1466,6,3350,383,0,7865,3,3,2,4
